OBJECTID,CREEK_NAME,MUNI,COUNTY,WATERSHED,SUBSHED,LABEL,SEGMENT_ID,REACH_ID,INF1,INF2,INF3,INF4,INF_ID,SOURCE,GNIS_NAME,GNIS_ID,MON_ID,RESTORATION_ID,ORDER_SHREVE,ORDER_STRAHLER,UREACHID,FACILITYID,EDITOR,EDIT_DATE,NOTES,RIVERMILE,Shape__Area,Shape__Length
38,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,,,,,,WSWR062,,,,,,,, ,0,2478.7578125,254.307535217197
39,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSWE01,WSWE02,Impoundment,,,,,,,,WSWR062,,,,,,,, ,0,1013.98828125,128.851284482591
40,Willow Run East,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSWE01,WSWE02,Bridged,,,,WSbri124,,,,WSWR062,,,,,,,, ,0,30.7265625,30.3752689949403
41,Willow Run East,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSWE01,WSWE02,Culverted,,,,WScul221,,,,WSWR062,,,,,,,, ,0,167.19921875,106.831193161354
42,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSWR062,,,,,,,, ,0,661.8359375,684.045144405309
43,Willow Run East,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSWE01,WSWE02,,,,,,,,,WSWR062,,,,,,,, ,0,529.43359375,187.925086549101
44,Willow Run East,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSWE01,WSWE02,Culverted,,,,WScul222,,,,WSWR062,,,,,,,, ,0,139.5859375,58.1406052799716
45,Willow Run East,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSWE01,WSWE02,,,,,,,,,WSWR062,,,,,,,, ,0,350.68359375,150.076072036625
46,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Culverted,,,,,,,,WSWR062,,,,,,,, ,0,77.38671875,49.8377657993455
47,Willow Run East,Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,Disconnected from Stream Network,,,,,W,,,,,,,, ,0,2987.28515625,228.155096036491
48,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSWR062,,,,,,,, ,0,185.296875,186.082947542912
49,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,,,,,,WSWR062,,,,,,,, ,0,548.4921875,98.205578174396
50,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,,,,,,WSWR062,,,,,,,, ,0,4206.72265625,268.180609975267
51,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSWR062,,,,,,,, ,0,163.00390625,217.437505038193
52,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Bridged,,,,WSbri501,,,,WSWR062,,,,,,,, ,0,38.203125,44.2415833708404
53,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSWR062,,,,,,,, ,0,391.38671875,323.174484890022
54,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSWR062,,,,,,,, ,0,143.8671875,162.952482270859
55,Willow Run East,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSWE03,WSWE04,Bridged,,,,WSbri126,,,,WSWR062,,,,,,,, ,0,90.72265625,46.1566923496373
56,Willow Run East,Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,,,,,,WSWR062,,,,,,,, ,0,1246.00390625,164.059245614418
57,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSWR062,,,,,,,, ,0,313.15234375,425.027624945915
58,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,,,,,,WSWR062,,,,,,,, ,0,5566.44921875,315.279089318233
59,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSWR062,,,,,,,, ,0,153.1015625,147.11763838334
60,Wissahickon Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSMS41,WSMS42,Bridged,,,,WSbri013,,,,WS1560,,,,,,Mary Ellen McCarty,2015/08/11 00:00:00+00, ,0,183.96484375,56.626383796551
61,Willow Run East,Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,Disconnected from Stream Network,,,,,W,,,,,,,, ,0,6175.65234375,307.481599152454
62,"Willow Run East, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSWR062,,,,,,,, ,0,170.140625,218.47751510432
63,Willow Run East,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSWE05,WSWE06,Bridged,,,,WSbri130,,,,WSWR062,,,,,,,, ,0,101.984375,41.9230213602743
64,"Penllyn Creek, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSPL046,,,,,,,, ,0,96.51171875,104.921119419072
65,Willow Run East,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSWE07,WSWE06,Bridged,,,,WSbri128,,,,WSWR062,,,,,,,, ,0,64.51953125,32.3394767001118
66,Penllyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSMSD01,WSMSD02,Impoundment,,,,,,,,WSPL046,,,,,,,, ,0,8359.13671875,441.34061384982
67,"Wissahickon Creek, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Culverted,,,,,,,,WS1560,,,,,,Mary Ellen McCarty,2015/08/11 00:00:00+00, ,0,43.578125,35.8399881696303
68,"Penllyn Creek, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSPL046,,,,,,,, ,0,176.4140625,153.047624456642
69,"Wissahickon Creek, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,,,,,,WS1560,,,,,,Mary Ellen McCarty,2015/08/11 00:00:00+00, ,0,307.83203125,68.8524757919209
70,Penllyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSMSD01,WSMSD02,Culverted,,,,WScul230,,,,WSPL046,,,,,,,, ,0,148.80859375,53.739085776973
71,"Penllyn Creek, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSPL046,,,,,,,, ,0,143.734375,178.241313658067
72,Willow Run East,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSWE07,WSWE08,Bridged,,,,WSbri139,,,,WSWR062,,,,,,,, ,0,40.23828125,27.8473007921465
73,"Penllyn Creek, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSPL046,,,,,,,, ,0,400.8984375,400.349843426646
74,Willow Run East,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSWE07,WSWE08,Bridged,,,,WSbri138,,,,WS1560,,,,,,,, ,0,231.2734375,61.3859151232791
75,"Penllyn Creek, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Culverted,,,,WScul639,,,,WSPL046,,,,,,,, ,0,101.1640625,44.8299260963075
76,Penllyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSMSD03,WSMSD04,Culverted,,,,WScul232,,,,WSPL046,,,,,,,, ,0,45.94921875,36.3823580324251
77,"Penllyn Creek, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSPL046,,,,,,,, ,0,382.23046875,342.457229117958
78,"Rose Valley Creek, unnamed trib",U. Dublin TWP,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSRV038,,,,,,,, ,0,264.73046875,470.485353334887
79,Willow Run East,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSWE09,WSWE08,Bridged,,,,WSbri137,,,,WS1560,,,,,,,, ,0,59.26171875,36.0142024911315
80,Penllyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSMSD05,WSMSD04,Impoundment,,,,,,,,WSPL046,,,,,,,, ,0,4823.640625,294.845957571334
81,Penllyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,,,,,,WSPL046,,,,,,,, ,0,621.09375,92.6835558317333
82,"Penllyn Creek, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSPL046,,,,,,,, ,0,50.140625,62.6901520752649
83,"Penllyn Creek, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,Bridged,,,,WSbri502,,,,WSPL046,,,,,,,, ,0,61.00390625,47.8017758771143
84,"Penllyn Creek, unnamed trib",Lower Gwynedd,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSPL046,,,,,,,, ,0,197.6875,140.54987295847
85,Penllyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSMSD05,WSMSD06,Culverted,,,,WScul233,,,,WSPL046,,,,,,,, ,0,79.82421875,42.0171561144271
86,Penllyn Creek,Lower Gwynedd,Montgomery,Wissahickon Creek,,,WSMSD05,WSMSD06,,,,,,,,,WSPL046,,,,,,,, ,0,534.87890625,331.404693933581
87,"Rose Valley Creek, unnamed trib (A)",U. Dublin TWP,Montgomery,Wissahickon Creek,,,U,U,,,,,,,,,WSRV038,,,,,,,, ,0,61.19140625,64.5936226775645
88,"Rose Valley Creek, unnamed trib (A)",U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSRVA01,WSRVA02,Culverted,,,,WScul262,,,,WSRV038,,,,,,,, ,0,79.109375,62.5996703379714
89,"Rose Valley Creek, unnamed trib (A)",U. Dublin TWP,Montgomery,Wissahickon Creek,,,U,U,Impoundment,,,Connected to Stream Network,,,,,WSRV038,,,,,,,, ,0,1289.44921875,149.898094665283
90,"Rose Valley Creek, unnamed trib (A)",U. Dublin TWP,Montgomery,Wissahickon Creek,,,WSRVA01,WSRVA02,,,,,,,,,WSRV038,,,,,,,, ,0,401.421875,284.807382728274
